t,ravg,ravg_top,rsum
145.0,0.7759706190975866,14.7,1479.0
146.0,0.829004329004329,14.2,1532.0
147.0,0.8331527627302275,15.1,1538.0
148.0,0.8658199889563777,15.9,1568.0
149.0,0.8735177865612648,16.1,1547.0
150.0,0.8700696055684455,16.8,1500.0
151.0,0.8321637426900584,16.9,1423.0
152.0,0.8520286396181385,17.9,1428.0
153.0,0.8759036144578313,18.7,1454.0
154.0,0.9121495327102803,19.5,1464.0
155.0,0.9228232189973615,20.2,1399.0
156.0,0.893491124260355,21.1,1359.0
157.0,0.8916776750330251,22.1,1350.0
158.0,0.8935185185185185,22.3,1351.0
159.0,0.8514851485148515,22.5,1290.0
160.0,0.8276779773785762,23.2,1244.0
161.0,0.8544726301735648,24.1,1280.0
162.0,0.8785425101214575,24.9,1302.0
163.0,0.8370712401055409,24.1,1269.0
164.0,0.8385175380542687,24.3,1267.0
165.0,0.8475811795891319,25.0,1279.0
166.0,0.9256480218281037,25.8,1357.0
167.0,0.8803301237964236,25.5,1280.0
168.0,0.9047282992237121,26.4,1282.0
169.0,0.8874734607218684,27.2,1254.0
170.0,0.9262773722627737,28.2,1269.0
171.0,0.935026138909634,29.1,1252.0
172.0,0.8603268945022289,28.2,1158.0
173.0,0.8273121387283237,28.9,1145.0
174.0,0.7804709141274239,28.5,1127.0
175.0,0.7827562797012899,29.3,1153.0
176.0,0.8525280898876404,30.2,1214.0
177.0,0.8585434173669467,31.2,1226.0
178.0,0.876458476321208,32.1,1277.0
179.0,0.9359605911330049,33.1,1330.0
180.0,0.9534368070953437,33.3,1290.0
181.0,0.9414348462664714,34.3,1286.0
182.0,0.9545793000744601,35.3,1282.0
183.0,0.8852701702442635,34.6,1196.0
184.0,0.7955390334572491,32.4,1070.0
185.0,0.7866473149492017,33.3,1084.0
186.0,0.8055964653902798,34.3,1094.0
187.0,0.8195652173913044,31.3,1131.0
188.0,0.8428070175438597,32.3,1201.0
189.0,0.8141529664045747,33.1,1139.0
190.0,0.8704512372634643,34.1,1196.0
191.0,0.8623242042931162,34.3,1165.0
192.0,0.895864106351551,35.3,1213.0
193.0,0.8636015325670499,35.7,1127.0
194.0,0.8059479553903346,33.6,1084.0
195.0,0.84744469870328,34.3,1111.0
196.0,0.8748079877112135,35.2,1139.0
197.0,0.9039504260263361,36.2,1167.0
198.0,0.9321895424836601,37.0,1141.0
199.0,0.9188963210702341,37.9,1099.0
200.0,0.9420168067226891,38.0,1121.0
201.0,0.9705372616984402,39.0,1120.0
202.0,1.0103986135181975,40.0,1166.0
203.0,0.9542190305206463,36.8,1063.0
204.0,0.8850987432675045,37.7,986.0
205.0,0.8669642857142857,37.5,971.0
206.0,0.9107939339875112,38.5,1021.0
207.0,0.9167412712623098,39.0,1024.0
208.0,0.9295652173913044,39.9,1069.0
209.0,0.9530973451327434,40.5,1077.0
210.0,0.9025069637883009,41.2,972.0
211.0,0.8091872791519434,37.0,916.0
212.0,0.8315696649029982,37.6,943.0
213.0,0.8544839255499154,38.6,1010.0
214.0,0.8608549874266554,39.2,1027.0
215.0,0.8265221017514596,35.4,991.0
216.0,0.8425849212924607,36.3,1017.0
217.0,0.8381742738589212,35.6,1010.0
218.0,0.8140916808149405,35.2,959.0
219.0,0.7590870667793744,35.2,898.0
220.0,0.7672131147540984,35.9,936.0
221.0,0.7475806451612903,36.8,927.0
222.0,0.7724028548770817,37.6,974.0
223.0,0.7815726767275616,38.4,984.0
224.0,0.8319039451114922,39.4,970.0
225.0,0.8505244755244755,39.5,973.0
226.0,0.8495495495495495,40.4,943.0
227.0,0.8658759124087592,40.3,949.0
228.0,0.7387687188019967,31.9,888.0
229.0,0.6875,31.8,891.0
230.0,0.6842490842490843,28.9,934.0
231.0,0.600400266844563,22.8,900.0
232.0,0.5856873822975518,22.6,933.0
233.0,0.5991379310344828,23.2,973.0
234.0,0.5899109792284867,23.7,994.0
235.0,0.6425206124852768,24.7,1091.0
236.0,0.6723329425556858,25.4,1147.0
237.0,0.6937046004842615,25.5,1146.0
238.0,0.7123372597644141,25.0,1149.0
239.0,0.7315689981096408,25.5,1161.0
240.0,0.7738095238095238,26.2,1235.0
241.0,0.7810499359795134,27.0,1220.0
242.0,0.8001277139208174,27.7,1253.0
243.0,0.8128617363344052,28.2,1264.0
244.0,0.8174027686222808,28.7,1240.0
245.0,0.8344414893617021,29.3,1255.0
246.0,0.8912608405603736,30.2,1336.0
247.0,0.8753298153034301,31.0,1327.0
248.0,0.9107755662319835,31.9,1327.0
249.0,0.8812849162011173,32.3,1262.0
250.0,0.9322990126939351,33.3,1322.0
251.0,0.9169054441260746,34.2,1280.0
252.0,0.9541150764748726,34.8,1310.0
253.0,1.0162721893491125,35.8,1374.0
254.0,1.0461297888975762,36.7,1338.0
255.0,1.0509708737864079,37.3,1299.0
256.0,1.0250809061488673,38.2,1267.0
257.0,1.085924713584288,39.2,1327.0
258.0,1.0742616033755275,40.1,1273.0
259.0,1.0360738255033557,41.0,1235.0
260.0,0.9974789915966387,42.0,1187.0
261.0,0.9713563605728728,42.4,1153.0
262.0,0.9108333333333334,38.0,1093.0
263.0,0.891497975708502,38.8,1101.0
264.0,0.9077954735959766,38.0,1083.0
265.0,0.8832528180354268,37.8,1097.0
266.0,0.8864197530864197,38.7,1077.0
267.0,0.8577235772357723,37.2,1055.0
268.0,0.8363047001620746,36.9,1032.0
269.0,0.8092259577795152,37.5,1035.0
270.0,0.8129770992366412,38.4,1065.0
271.0,0.7815315315315315,38.2,1041.0
272.0,0.7846153846153846,36.7,1020.0
273.0,0.7680608365019012,34.5,1010.0
274.0,0.7623188405797101,35.0,1052.0
275.0,0.7957479119210327,35.9,1048.0
276.0,0.8238503507404521,36.6,1057.0
277.0,0.8344934261407579,34.1,1079.0
278.0,0.8129829984544049,34.8,1052.0
279.0,0.8355111452728671,35.7,1087.0
280.0,0.8501170960187353,36.7,1089.0
281.0,0.8407643312101911,36.6,1056.0
282.0,0.8727569331158238,37.3,1070.0
283.0,0.8504375497215593,38.2,1069.0
284.0,0.8318068276436303,38.1,999.0
285.0,0.8399668325041459,37.2,1013.0
286.0,0.8495065789473685,38.0,1033.0
287.0,0.865415986949429,39.0,1061.0
288.0,0.8618968386023295,37.9,1036.0
289.0,0.8739703459637562,38.7,1061.0
290.0,0.8882303132938189,39.1,1049.0
291.0,0.935930735930736,39.9,1081.0
292.0,0.9701492537313433,40.6,1105.0
293.0,0.8616144975288303,32.5,1046.0
294.0,0.8506493506493507,33.2,1048.0
295.0,0.8574918566775245,34.1,1053.0
296.0,0.8723404255319149,33.8,1066.0
297.0,0.9199009083402147,34.8,1114.0
298.0,0.9463667820069204,35.3,1094.0
299.0,0.9370629370629371,35.3,1072.0
300.0,0.9268077601410935,34.7,1051.0
301.0,0.8894645941278065,35.6,1030.0
302.0,0.8698979591836735,34.9,1023.0
303.0,0.853904282115869,35.6,1017.0
304.0,0.8673894912427023,36.5,1040.0
305.0,0.8826860841423948,37.4,1091.0
306.0,0.9010067114093959,37.7,1074.0
307.0,0.9394479073909172,38.6,1055.0
308.0,0.9420160570918823,39.3,1056.0
309.0,0.921173235563703,40.3,1005.0
310.0,0.8605072463768116,38.3,950.0
311.0,0.8961397058823529,39.2,975.0
312.0,0.8885844748858448,39.2,973.0
313.0,0.8784029038112523,38.7,968.0
314.0,0.8163636363636364,37.9,898.0
315.0,0.8261269549218031,37.7,898.0
316.0,0.7985739750445633,38.5,896.0
317.0,0.7998220640569395,39.2,899.0
318.0,0.8331862312444837,39.9,944.0
319.0,0.8373333333333334,40.2,942.0
320.0,0.8237924865831843,40.8,921.0
321.0,0.8164383561643835,39.9,894.0
322.0,0.7454710144927537,33.9,823.0
323.0,0.6818181818181818,32.5,780.0
324.0,0.6837088388214905,33.1,789.0
325.0,0.6959165942658557,33.6,801.0
326.0,0.46908809891808345,16.7,607.0
327.0,0.4690934065934066,17.3,683.0
328.0,0.5045572916666666,18.1,775.0
329.0,0.5400246305418719,18.8,877.0
330.0,0.5543543543543543,18.8,923.0
331.0,0.6159292035398231,19.5,1044.0
332.0,0.6474056603773585,20.2,1098.0
333.0,0.668614845119813,20.3,1144.0
334.0,0.6379613356766256,18.3,1089.0
335.0,0.6326291079812206,18.7,1078.0
336.0,0.6498277841561424,18.9,1132.0
337.0,0.6697674418604651,19.6,1152.0
338.0,0.728883638511518,20.2,1234.0
339.0,0.7334137515078407,20.7,1216.0
340.0,0.7167070217917676,20.9,1184.0
341.0,0.7272182254196643,20.1,1213.0
342.0,0.7454434993924666,21.0,1227.0
343.0,0.7655768044417026,21.4,1241.0
344.0,0.8121059268600253,22.0,1288.0
345.0,0.8207908163265306,22.7,1287.0
346.0,0.8363636363636363,23.5,1288.0
347.0,0.8621385339609953,24.3,1282.0
348.0,0.8514167242570836,25.3,1232.0
349.0,0.8516886930983847,25.0,1160.0
350.0,0.8152818991097923,21.3,1099.0
351.0,0.7490855888807608,21.3,1024.0
352.0,0.7128309572301426,22.1,1050.0
353.0,0.7520325203252033,23.0,1110.0
354.0,0.762619372442019,23.8,1118.0
355.0,0.7376502002670227,23.3,1105.0
356.0,0.7232574189095928,23.8,1048.0
357.0,0.7463312368972747,24.7,1068.0
358.0,0.7802047781569966,25.6,1143.0
359.0,0.8028649386084584,26.3,1177.0
360.0,0.7861111111111111,27.1,1132.0
361.0,0.7872791519434629,28.0,1114.0
362.0,0.8156583629893238,29.0,1146.0
363.0,0.8226277372262774,30.0,1127.0
364.0,0.8130498533724341,30.1,1109.0
365.0,0.844097995545657,30.7,1137.0
366.0,0.8578908002991773,31.7,1147.0
367.0,0.8441461595824012,32.7,1132.0
368.0,0.8678955453149002,33.6,1130.0
369.0,0.8835027365129007,34.1,1130.0
370.0,0.8565768621236133,32.4,1081.0
371.0,0.8914604948124502,33.3,1117.0
372.0,0.8807947019867549,34.1,1064.0
373.0,0.8453355155482815,32.8,1033.0
374.0,0.8447154471544716,33.7,1039.0
375.0,0.8520953163516845,34.5,1037.0
376.0,0.8241291418861513,35.5,970.0
377.0,0.8696428571428572,36.1,974.0
378.0,0.806368330464716,35.4,937.0
379.0,0.7578512396694215,33.6,917.0
380.0,0.7722852512155591,34.6,953.0
381.0,0.7641277641277642,35.5,933.0
382.0,0.8322259136212624,36.4,1002.0
383.0,0.8167495854063018,33.7,985.0
384.0,0.8029801324503312,32.9,970.0
385.0,0.8200663349917081,33.8,989.0
386.0,0.8329048843187661,34.7,972.0
387.0,0.8025751072961373,34.4,935.0
388.0,0.8376736111111112,35.3,965.0
389.0,0.7934312878133103,32.6,918.0
390.0,0.7977624784853701,33.6,927.0
391.0,0.8462206776715899,34.5,974.0
392.0,0.858281665190434,34.4,969.0
393.0,0.8595194085027726,35.3,930.0
394.0,0.7847769028871391,35.8,897.0
395.0,0.8340971585701191,36.7,910.0
396.0,0.8273972602739726,37.7,906.0
397.0,0.8283649503161699,38.4,917.0
398.0,0.7992766726943942,39.0,884.0
399.0,0.7958607714016933,37.7,846.0
400.0,0.7720515361744301,36.2,779.0
401.0,0.7773475314617618,37.1,803.0
402.0,0.7633802816901408,35.9,813.0
403.0,0.7396021699819169,36.4,818.0
404.0,0.673992673992674,33.4,736.0
405.0,0.6875,34.2,759.0
406.0,0.736283185840708,33.4,832.0
407.0,0.7848888888888889,34.2,883.0
408.0,0.7958067456700091,34.5,873.0
409.0,0.7828828828828829,34.6,869.0
410.0,0.8057971014492754,35.3,834.0
411.0,0.8288288288288288,36.2,828.0
412.0,0.8493975903614458,37.0,846.0
413.0,0.8010101010101011,31.0,793.0
414.0,0.8301698301698301,31.2,831.0
415.0,0.7374517374517374,31.4,764.0
416.0,0.7395529640427599,30.6,761.0
417.0,0.6356164383561644,24.0,696.0
418.0,0.6167664670658682,24.8,721.0
419.0,0.6098579782790309,25.1,730.0
420.0,0.6607142857142857,26.0,814.0
421.0,0.6565977742448331,26.8,826.0
422.0,0.6455493183640738,26.3,805.0
423.0,0.7,26.5,861.0
424.0,0.7415359207266722,27.0,898.0
425.0,0.7745664739884393,27.3,938.0
426.0,0.799667497921862,28.2,962.0
427.0,0.7716599190283401,28.9,953.0
428.0,0.7679012345679013,29.5,933.0
429.0,0.7941422594142259,30.2,949.0
430.0,0.8310225303292894,31.0,959.0
431.0,0.5592246949030869,16.3,779.0
432.0,0.5610687022900763,17.1,882.0
433.0,0.5829238329238329,17.8,949.0
434.0,0.5757938885560215,16.7,961.0
435.0,0.5830969937606353,16.9,1028.0
436.0,0.6036995515695067,17.4,1077.0
437.0,0.6005464480874317,16.4,1099.0
438.0,0.639515685195377,16.9,1162.0
439.0,0.6706652126499455,17.6,1230.0
440.0,0.7085839256424276,18.5,1296.0
